kind,path,size_bytes,size_readable
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\tseries\offsets\__pycache__,410264,400.65 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\pytables\__pycache__,406350,396.83 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\command\__pycache__,403259,393.81 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\ext\__pycache__,394432,385.19 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\frame\indexing\__pycache__,391765,382.58 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\reshape\__pycache__,391688,382.51 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\resample\__pycache__,390507,381.35 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\reshape\merge\__pycache__,384709,375.69 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\__pycache__,380800,371.88 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\series\__pycache__,376186,367.37 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\copy_view\__pycache__,374217,365.45 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\datetimes\__pycache__,372177,363.45 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\__pycache__,367147,358.54 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\__pycache__,364237,355.70 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\internals\__pycache__,362615,354.12 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\plotting\frame\__pycache__,348773,340.60 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\extension\__pycache__,348094,339.94 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\fastapi\__pycache__,342518,334.49 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\polynomial\tests\__pycache__,339601,331.64 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\dialects\mysql\__pycache__,339463,331.51 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\babel\__pycache__,338496,330.56 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\f2py\tests\__pycache__,337331,329.42 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\mako\__pycache__,336216,328.34 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\dtypes\__pycache__,328641,320.94 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\testing\__pycache__,325997,318.36 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\json\__pycache__,324144,316.55 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\dtypes\__pycache__,319256,311.77 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\starlette\__pycache__,316612,309.19 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\formats\style\__pycache__,304847,297.70 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\idna\__pycache__,299598,292.58 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\reshape\__pycache__,297378,290.41 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\tools\__pycache__,289700,282.91 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\series\indexing\__pycache__,286269,279.56 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\util\__pycache__,284711,278.04 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\dialects\oracle\__pycache__,284513,277.84 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\yaml\__pycache__,275607,269.15 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\arrays\categorical\__pycache__,275399,268.94 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\lxml\html\__pycache__,274457,268.02 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\openpyxl\worksheet\__pycache__,270919,264.57 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\plotting\_matplotlib\__pycache__,268575,262.28 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\reshape\concat\__pycache__,266873,260.62 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\excel\__pycache__,259570,253.49 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\extension\base\__pycache__,253250,247.31 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\alembic\operations\__pycache__,250117,244.25 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\strings\__pycache__,248000,242.19 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\typing\tests\data\pass\__pycache__,245102,239.36 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\ext\asyncio\__pycache__,243515,237.81 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\apply\__pycache__,239593,233.98 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\greenlet\tests\__pycache__,239413,233.80 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\_distutils\command\__pycache__,239165,233.56 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\config\_validate_pyproject\__pycache__,234645,229.15 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\anyio\_backends\__pycache__,234470,228.97 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\groupby\methods\__pycache__,234143,228.66 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\docx\oxml\__pycache__,233708,228.23 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\idna\__pycache__,232309,226.86 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\io\parsers\__pycache__,229820,224.43 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\dialects\mssql\__pycache__,227271,221.94 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\__pycache__,226023,220.73 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\cryptography\x509\__pycache__,224744,219.48 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\requests\__pycache__,220704,215.53 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexing\multiindex\__pycache__,220565,215.40 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\util\__pycache__,220158,215.00 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\babel\messages\__pycache__,216891,211.81 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\anyio\_core\__pycache__,215198,210.15 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\arrays\sparse\__pycache__,213261,208.26 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\period\__pycache__,209096,204.20 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\interval\__pycache__,208411,203.53 KB
